"Date/Time";"Outside Dry-Bulb Temperature";"Outside Dew-Point Temperature";"Direct Normal Solar";"Diffuse Horizontal Solar";"Wind Speed";"Wind Direction";"Atmospheric Pressure";"Solar Altitude";"Solar Azimuth";
;"°C";"°C";"kWh/m2";"kWh/m2";"m/s";"°";"Pa";"°";"°";
"1/01/2002";"12.53757";"6.397581";"57.717";"124.358";"0.1826613";"9.788306";"67917";"7.359743";"180.0509";
"1/02/2002";"12.58318";"6.465067";"55.876";"109.242";"1.769792";"71.20536";"67917";"5.158371";"178.158";
"1/03/2002";"12.55746";"6.579301";"52.6695";"112.5313";"1.236828";"75.3629";"67917";"0.8459499";"182.364";
"1/04/2002";"12.35215";"6.059548";"67.9405";"96.32225";"1.385695";"69.72222";"67917";"-3.923087";"182.7107";
"1/05/2002";"11.37722";"3.935954";"128.7587";"68.024";"0.2232527";"9.865591";"67917";"-6.8435";"185.8922";
"1/06/2002";"10.34962";"0.94125";"137.431";"57.556";"0.9769444";"61.14028";"67917";"-7.864104";"186.8283";
"1/07/2002";"9.92742";"1.301411";"151.802";"57.00025";"0.2327957";"14.27419";"67917";"-7.460363";"187.0247";
"1/08/2002";"10.95958";"2.985484";"128.1597";"73.5975";"0.4307796";"11.37097";"67917";"-5.428676";"184.7858";
"1/09/2002";"12.09299";"4.245972";"76.561";"98.59225";"1.493194";"68.19444";"67917";"-1.299934";"180.5086";
"1/10/2002";"13.21791";"4.881888";"77.571";"114.229";"1.8375";"70.31049";"67917";"3.523891";"178.1806";
"1/11/2002";"13.27083";"5.651111";"60.999";"117.6805";"1.771111";"90.75694";"67917";"6.72035";"180.4534";
"1/12/2002";"13.24194";"5.665154";"61.7835";"124.8";"1.714651";"85.75941";"67917";"7.855065";"180.2695";

