"Date/Time";"Mech Vent + Nat Vent + Infiltration";"External Infiltration";"External Vent.";"Zone Heating";"General Lighting";"Occupancy";"Solar Gains Exterior Windows";"Zone Sensible Heating";"Zone Sensible Cooling";"Air Temperature";"Radiant Temperature";"Operative Temperature";"Outside Dry-Bulb Temperature";
;"ac/h";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"°C";"°C";"°C";"°C";
"1/01/2002";"0.8467583";"-603.8424";"-1.319553";"0.013049";"119.5403";"97.28544";"1312.857";"0";"-110.5073";"22.38721";"23.05335";"22.72028";"12.53757";
"1/02/2002";"0.8416038";"-473.1425";"0";"13.40072";"107.9718";"90.84967";"1082.752";"5.931168";"-88.44648";"21.1119";"21.67869";"21.3953";"12.58318";
"1/03/2002";"0.8412564";"-514.6597";"0";"16.58723";"119.5403";"101.0185";"1164.09";"7.583272";"-95.91935";"20.93453";"21.49276";"21.21364";"12.55746";
"1/04/2002";"0.8425329";"-537.3588";"0";"24.72928";"115.6841";"97.07218";"1244.646";"13.94495";"-98.73143";"21.38215";"21.96153";"21.67184";"12.35215";
"1/05/2002";"0.8563883";"-637.8074";"-13.91938";"83.06969";"119.5403";"99.59778";"1541.099";"52.97074";"-104.8758";"21.70373";"22.28636";"21.99505";"11.37722";
"1/06/2002";"0.8549634";"-679.0356";"-9.832995";"161.5682";"115.6841";"96.42928";"1634.824";"117.5687";"-108.2916";"21.64334";"22.20028";"21.92181";"10.34962";
"1/07/2002";"0.8623182";"-715.893";"-18.15718";"165.3371";"119.5403";"99.53715";"1660.9";"119.6625";"-101.823";"21.46729";"22.04405";"21.75567";"9.92742";
"1/08/2002";"0.8486997";"-645.9293";"-3.679861";"93.70718";"119.5403";"99.93188";"1447.416";"62.1191";"-103.4546";"21.40836";"21.9958";"21.70208";"10.95958";
"1/09/2002";"0.841976";"-527.5975";"0";"50.12963";"115.6841";"97.8726";"1206.006";"26.7357";"-89.7279";"20.94072";"21.48677";"21.21374";"12.09299";
"1/10/2002";"0.8456897";"-588.0723";"-1.343522";"3.38355";"119.5403";"97.25754";"1470.17";"1.475099";"-119.0908";"22.80225";"23.44228";"23.12226";"13.21791";
"1/11/2002";"0.8513908";"-598.0623";"-5.473759";"0.173398";"115.6841";"92.38003";"1515.484";"1.664288E-02";"-117.8254";"23.35711";"24.03925";"23.69818";"13.27083";
"1/12/2002";"0.8729326";"-655.6787";"-25.47595";"0";"119.5403";"93.26105";"1674.602";"0";"-128.264";"23.94618";"24.68257";"24.31437";"13.24194";

